"","Policy","IdOrig","Dbase","SciName","CommName","MSY","SpeciesCat","SpeciesCatName","BvBmsy","FvFmsy","current_b","current_f","b_mey","f_mey","current_b_mey","current_f_mey"
"164","Historic","INIDEP-ARGANCHONARG-1989-2007-Parma","RAM","Engraulis anchoita","Argentine anchoita Northern Argentina",318020.85,35,"Herrings, sardines, anchovies",1.09,0.169,1.09,0.169,1.37167937728295,0.674386861130115,0.794646342324615,0.250598002038171
"165","Historic","INIDEP-ARGANCHOSARG-1992-2007-Parma","RAM","Engraulis anchoita","Argentine anchoita Southern Argentina",217369.035,35,"Herrings, sardines, anchovies",2.28,0.0353,2.28,0.0353,1.37113896482487,0.674805024235448,1.66285114674077,0.0523114066022179
"166","Historic","INIDEP-ARGHAKENARG-1986-2011-CHING","RAM","Merluccius hubbsi","Argentine hake Northern Argentina",129495.4405,32,"Cods, hakes, haddocks",0.373,1.68,0.373,1.68,1.24269222102251,0.778220976368486,0.300154771784995,2.15876987515757
"167","Historic","INIDEP-ARGHAKESARG-1990-2011-CHING","RAM","Merluccius hubbsi","Argentine hake Southern Argentina",474863.636363636,32,"Cods, hakes, haddocks",0.169,1.79,0.169,1.79,1.24581500930631,0.775605946383289,0.135654169148356,2.30787297125159
"168","Historic","INIDEP-PATGRENADIERSARG-1983-2006-Parma","RAM","Macruronus magellanicus","Patagonian grenadier Southern Argentina",132131,32,"Cods, hakes, haddocks",2.15,0.595,2.15,0.595,1.25477357959003,0.768133442907565,1.71345654305413,0.774604992783266
"169","Historic","INIDEP-SBWHITARGS-1985-2007-Parma","RAM","Micromesistius australis","Southern blue whiting Southern Argentina",99752.3809523809,32,"Cods, hakes, haddocks",0.103,1.91,0.103,1.91,1.23140810638245,0.787715019676775,0.0836440814918675,2.4247347737304
"170","Historic","IOTC-ALBAIO-1950-2010-CHING","RAM","Thunnus alalunga","Albacore tuna Indian Ocean",27022,36,"Tunas, bonitos, billfishes",1.08,0.94,1.08,0.94,1.36426056214512,0.68013915629686,0.791637631378745,1.38207011211941
"171","Historic","IOTC-BIGEYEIO-1950-2010-CHING","RAM","Thunnus obesus","Bigeye tuna Indian Ocean",114000,36,"Tunas, bonitos, billfishes",1.2,0.79,1.2,0.79,1.37038115961372,0.675391628078971,0.875668781332528,1.16969172722352
"172","Historic","IOTC-SKJCIO-1950-2010-CHING","RAM","Katsuwonus pelamis","Skipjack tuna Indian Ocean",564000,36,"Tunas, bonitos, billfishes",2.50011387690351,0.81,2.50011387690351,0.81,1.35208847374549,0.689632239929072,1.84907565255535,1.17453905589348
"173","Historic","IOTC-SWORDIO-1950-2010-CHING","RAM","Xiphias gladius","Swordfish Indian Ocean",36417,36,"Tunas, bonitos, billfishes",1.59,0.43,1.59,0.43,1.37058149681383,0.675236524926638,1.16009154048573,0.636813892801072
